keeping	speaker	age	gender	ethnicity	race	disorder	disorder_exp	dominant_lg	home_lg	born_us	three_months_outside_us	three_months_location	l1	l1_aoa	l1_prof	l1_percentage	l2	l2_aoa	l2_prof	l2_percentage	spanish_native	spanish_geographical	spanish_dialect	spanish_dialect_type	spanish_mexican_dialect	spanish_mexican_dialect_type	spanish_prof_speaking	spanish_prof_understanding	spanish_prof_reading	spanish_accent_self	spanish_accent_others	english_native	english_geographical	english_dialect	english_dialect_type	english_prof_speaking	english_prof_understanding	english_prof_reading	english_accent_self	english_accent_others	age_spanish	age_english	comfort_spanish	comfort_english	use_predominantly	use_math	accent	use_life	school_spanish	school_english	lost_fluency	lost_fluency_lg	lost_fluency_age	current_country
yes	sub_13	21	female	hispanic	NA	no	NA	equal	spanish	yes	no	NA	spanish	1	6	40	english	4	7	60	yes	united_states	standard	NA	NA	NA	8	8	8	2	5	no	united_states	standard	NA	7	7	7	2	2	1	4	2	5	spanish	english	spanish	english	2	12	no	NA	NA	united_states
yes	sub_14	19	male	hispanic	NA	no	NA	english	both	yes	no	NA	english	3	10	95	spanish	3	6	5	yes	united_states_los_angeles	dialectal	southern_californian	NA	NA	5	7	9	1	1	yes	united_states_los_angeles	standard	NA	10	10	10	0	0	3	3	3	3	spanish	english	neither	english	4	15	yes	spanish	18	united_states
yes	sub_15	18	female	hispanic	white	no	NA	equal	both	yes	yes	NA	spanish	0	10	20	english	4.5	10	80	yes	united_states	standard	NA	yes	guadalajara	9	10	9	1	1	no	united_states_los_angeles	standard	NA	10	10	10	1	0	0	4.5	3	7	both	english	neither	spanish	4	13	no	NA	NA	united_states
no	sub_16	21	female	hispanic	white	no	NA	english	both	yes	no	NA	english	0	10	50	spanish	0	8	49	yes	united_states_san_diego	standard	NA	yes	guadalajara	8	10	8	5	3	yes	united_states_san_diego	standard	NA	10	10	10	5	1	0	0	4	4	both	english	both	english	5	17	yes	spanish	10	united_states
yes	sub_17	19	female	hispanic	asian	no	NA	equal	both	yes	no	NA	english	1	10	95	spanish	1	10	5	no	united_states	standard	NA	NA	NA	9	10	10	5	1	yes	united_states	standard	NA	10	10	10	5	1	1	1	10	2	both	english	both	english	5	12	no	NA	NA	united_states
yes	sub_18	19	female	hispanic	NA	no	NA	english	both	yes	no	NA	english	3	9	50	spanish	3	8	50	no	mexico	standard	NA	NA	NA	7	10	8	7	8	yes	united_states_california	standard	NA	9	10	9	6	6	3	3	6	6	english	english	spanish	spanish	2	12	yes	spanish	16	united_states
yes	sub_19	19	female	hispanic	NA	no	NA	english	spanish	yes	yes	NA	english	0	10	70	spanish	0	8	30	no	united_states_california	standard	NA	yes	guadalajara	8	10	7	3	0	yes	united_states_california	standard	NA	10	10	10	0	0	3	3	10	10	spanish	english	neither	spanish	6	16	yes	spanish	NA	united_states
yes	sub_20	18	female	hispanic	white	no	NA	equal	both	yes	yes	mexico	english	3	10	55	spanish	3	10	45	yes	united_states_california	standard	NA	yes	guadalajara	10	10	10	0	0	yes	united_states_california	standard	NA	10	10	10	0	0	0	0	3	3	both	both	neither	english	2	12	yes	spanish	8	united_states
no	sub_21	17	female	hispanic	NA	no	NA	english	spanish	yes	no	NA	english	5	10	70	spanish	1	6	30	no	united_states_california	standard	NA	NA	NA	5	7	5	4	5	yes	united_states_california	dialectal	american	10	10	10	0	0	1	5	5	7	spanish	english	neither	english	0	12	yes	spanish	10	united_states
yes	sub_22	20	female	hispanic	white	no	NA	equal	both	yes	no	NA	spanish	2	10	90	english	3	10	10	yes	united_states_california	standard	NA	yes	guadalajara	10	10	9	5	4	yes	united_states_california	standard	NA	10	10	10	4	6	2	3	3	4	both	english	spanish	english	0	17	yes	spanish	18	united_states
yes	sub_23	18	female	hispanic	NA	no	NA	english	spanish	yes	no	NA	spanish	5	5	40	english	5	8	50	yes	united_states_california	standard	NA	yes	zacatecas	7	9	7	2	1	yes	united_states_california	standard	NA	9	10	10	2	NA	5	5	5	5	both	english	spanish	english	4	13	no	NA	NA	united_states
no	sub_24	21	female	hispanic	white	no	NA	english	english	yes	no	NA	english	0	10	95	spanish	0	4	5	no	mexico	standard	NA	no	NA	3	8	6	4	6	yes	united_states	standard	NA	10	10	10	0	0	0	0	not_yet	0	english	english	neither	english	0	11	yes	spanish	5	united_states
yes	sub_25	18	male	hispanic	white	no	NA	english	spanish	yes	no	NA	english	1	10	70	spanish	1	8	30	no	united_states	standard	NA	yes	guadalajara	7	10	9	0	1	yes	united_states	standard	NA	10	10	10	0	0	2	2	5	5	spanish	english	neither	spanish	2	12	yes	spanish	12	united_states
yes	sub_26	19	male	hispanic	white	no	NA	english	spanish	yes	yes	mexico	english	0	10	47	spanish	0	10	47	yes	mexico	dialectal	NA	yes	mexicali	10	10	10	0	0	yes	united_states	dialectal	west_coast	10	10	10	1	4	0	0	0	0	spanish	english	english	spanish	0	15	no	NA	NA	united_states
no	sub_28	23	female	hispanic	white	no	NA	english	both	yes	yes	spain	english	3	10	70	spanish	1	10	30	yes	united_states_california	dialectal	colombian	no	NA	7	10	9	5	6	yes	united_states_california	standard	NA	10	10	10	0	0	1	3	8	3	spanish	english	spanish	spanish	5	6	yes	spanish	NA	united_states
yes	sub_29	20	female	hispanic	white	no	NA	equal	both	yes	yes	mexico	english	5	10	80	spanish	0	9.5	20	yes	mexico	dialectal	mexican	yes	mexico_city	9.5	10	9	1	1	no	united_states	dialectal	socal	10	10	10	0	0	0	5.5	4	7	english	english	spanish	spanish	0	14	no	NA	NA	united_states
no	sub_32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
yes	sub_36	19	female	hispanic	white	no	NA	english	both	yes	no	NA	english	3	10	80	spanish	4	7	20	yes	united_states_california	standard	NA	yes	guadalajara	7	9	7	6	4	yes	united_states	dialectal	west_coast	10	10	10	0	10	4	2	8	5	both	english	spanish	english	3	14	yes	spanish	18	united_states
yes	sub_37	21	female	hispanic	white	no	NA	english	both	yes	no	NA	english	0	9	85	spanish	0	6	15	no	united_states	standard	NA	yes	san_luis_potosi	7	8	7	5	6	yes	united_states_los_angeles	standard	NA	10	10	9	1	0	0	0	3	3	english	english	both	english	0	16	yes	spanish	NA	united_states
no	sub_40	20	male	hispanic	white	no	NA	english	both	yes	no	NA	english	0	10	70	spanish	0	5	30	no	united_states_oxnard	standard	NA	yes	mexico_city	5	8	6	6	10	yes	united_states_oxnard	standard	NA	10	10	10	0	0	0	0	15	0	english	english	neither	english	0	4	yes	spanish	20	united_states
no	sub_45	20	female	hispanic	white	no	NA	english	english	yes	no	NA	english	0	10	70	spanish	0	9	30	no	united_states	standard	NA	yes	guadalajara	8	9	6	1	1	yes	united_states	standard	NA	10	10	10	0	0	1	1	3	2	both	english	neither	english	5	13	yes	spanish	13	united_states
yes	sub_48	22	female	hispanic	white	no	NA	equal	spanish	yes	yes	mexico	spanish	0	10	50	english	4	10	50	yes	mexico_tijuana	dialectal	tijuana	yes	tijuana	10	10	10	0	0	no	united_states_san_diego	dialectal	san_diego	10	10	10	2	1	4	4	6	6	spanish	spanish	english	spanish	8	8	no	NA	NA	united_states
no	sub_49	18	female	hispanic	NA	no	NA	english	both	yes	no	NA	english	1	10	50	spanish	1	6	50	yes	united_states	standard	NA	no	NA	7	10	6	0	0	yes	united_states	standard	NA	10	10	10	0	0	1	1	0	0	both	english	neither	english	12	12	yes	spanish	16	united_states
yes	sub_52	19	female	hispanic	NA	no	NA	english	both	yes	yes	mexico	english	4	10	85	spanish	3	7	15	yes	united_states	NA	NA	yes	mexico_city	7	7	5	3	2	yes	united_states_los_angeles	standard	NA	8	8	8	3	4	3	4	14	7	both	english	both	english	0	13	yes	spanish	7	united_states
yes	sub_56	19	male	hispanic	NA	no	NA	english	spanish	yes	no	NA	english	1	10	85	spanish	1	8	15	no	mexico	standard	NA	yes	guadalajara	8	10	8	6	5	yes	united_states	standard	NA	10	10	10	1	1	1	1	7	5	spanish	english	neither	english	0	13	yes	spanish	15	united_states
